,Parameter name,Order,Dependency,Relation,Explanation,Comments,Favorite,Value,Expression,Previous parameter name
,right_rabbeting_length,218,Derived,Model,Length of rabbeting from start to finish; may be longer than the stile in the case of through-rabbeting,"218) Derived - Model
    Length of rabbeting from start to finish; may be longer than the stile in the case of through-rabbeting",No,78.5735,= right_rabbeting_top - right_rabbeting_bottom,
,right_interior_drilling,219,Derived,Model,Whether drilling is present the interior right edge of the stile,"219) Derived - Model
    Whether drilling is present the interior right edge of the stile",No,0,"=IF(AND(right_side_door=1,RD_hinging_right=0,RD_swinging_out=0),1,0)",
,right_exterior_drilling,220,Derived,Model,Whether drilling is present the exterior right edge of the stile,"220) Derived - Model
    Whether drilling is present the exterior right edge of the stile",No,0,"=IF(AND(right_side_door=1,RD_hinging_right=0,RD_swinging_out=1),1,0)",
,,,,,,,,,,
Door drill hole coordinates - RIGHT side,,,,,,,,,,
,RD_top_hinge_hole_1_y_value,221,Derived,Helper,Distance between top of the right door and the center of the door hinge hole,"221) Derived - Helper
    Distance between top of the right door and the center of the door hinge hole",No,1.720,= RD_top_margin,
,RD_top_hinge_hole_2_y_value,222,Derived,Helper,Distance between top of the right door and the center of the door hinge hole,"222) Derived - Helper
    Distance between top of the right door and the center of the door hinge hole",No,3.220,=RD_top_hinge_hole_1_y_value+hinge_hole_space,
,RD_mid_top_hinge_hole_1_y_value,223,Derived,Helper,Distance between top of the right door and the center of the door hinge hole,"223) Derived - Helper
    Distance between top of the right door and the center of the door hinge hole",No,24.448,=RD_top_hinge_hole_1_y_value+RD_inter_hinge_gap+RD_mid_top_hinge_offset,
,RD_mid_top_hinge_hole_2_y_value,224,Derived,Helper,Distance between top of the right door and the center of the door hinge hole,"224) Derived - Helper
    Distance between top of the right door and the center of the door hinge hole",No,25.948,=RD_mid_top_hinge_hole_1_y_value+hinge_hole_space,
,RD_mid_bottom_hinge_hole_1_y_value,225,Derived,Helper,Distance between top of the right door and the center of the door hinge hole,"225) Derived - Helper
    Distance between top of the right door and the center of the door hinge hole",No,47.177,=RD_mid_top_hinge_hole_1_y_value+RD_inter_hinge_gap+RD_mid_bottom_hinge_offset,
