Type,Parameter Name,Value,Unit,Expression,Comment
User,inter_hinge_gap,29.25,in,( component_height - ( door_top_margin ) - ( door_bottom_margin + hinge_hole_space ) ) / 3,"041) Derived - Helper
    Distance between top holes of adjacent hinges"
User,mid_top_hinge_offset,-0.823,in,( -1 * 0.823 * if(component_floor_clearance == 1 in and not(door_wall_post_hinging); 1; 0) ) * 1 in,"042) Derived - Helper
    An offset applying to the mid-top hinge when the floor clearance is 1"""" the door hinges on a stile"
User,mid_top_hinge_hole_1_y_value,30.147000000000006,in,top_hinge_hole_1_y_value + inter_hinge_gap + mid_top_hinge_offset,"403) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
User,mid_top_hinge_hole_2_y_value,31.647000000000006,in,mid_top_hinge_hole_1_y_value + hinge_hole_space,"404) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
User,mid_bottom_hinge_offset,1.646,in,( 2 * 0.823 * if(component_floor_clearance == 1 in and not(door_wall_post_hinging); 1; 0) ) * 1 in,"043) Derived - Helper
    An offset applying to the mid-bottom hinge when the floor clearance is 1"""" the door hinges on a stile"
User,mid_bottom_hinge_hole_1_y_value,61.04299999999999,in,mid_top_hinge_hole_1_y_value + inter_hinge_gap + mid_bottom_hinge_offset,"405) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
User,mid_bottom_hinge_hole_2_y_value,62.543,in,mid_bottom_hinge_hole_1_y_value + hinge_hole_space,"406) Derived - Model
    Distance between top of the door and the center of the door hinge hole
"
User,bottom_hinge_hole_1_y_value,89.47,in,mid_bottom_hinge_hole_1_y_value + inter_hinge_gap + mid_top_hinge_offset,"407) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
User,bottom_hinge_hole_2_y_value,90.97,in,bottom_hinge_hole_1_y_value + hinge_hole_space,"408) Derived - Model
    Distance between top of the door and the center of the door hinge hole"
User,door_perp_stile_keeper,0.0,,0,"012) Input - Model
    Whether the door latches on a perpendiculat stile"
User,left_rabbeting_model,-0.125,in,if(left_exterior_rabbeting; -component_thickness / 2 + rabbeting_depth / 2; if(left_interior_rabbeting; component_thickness / 2 - rabbeting_depth / 2; component_thickness)),"203) Derived - Model
    Controls rabbeting in model's left side as seen from the Outside"
User,right_rabbeting_model,-0.125,in,if(right_exterior_rabbeting; -component_thickness / 2 + rabbeting_depth / 2; if(right_interior_rabbeting; component_thickness / 2 - rabbeting_depth / 2; component_thickness)),"206) Derived - Model
    Controls rabbeting in model's right side as seen from Outside"
User,left_interior_drilling,1.0,,if(not(door_hinging_right) and not(door_swinging_out); 1; 0),"101) Derived - Model
    Whether drilling is present the interior left edge of the door"
User,left_exterior_drilling,0.0,,if(not(door_hinging_right) and door_swinging_out; 1; 0),"102) Derived - Model
    Whether drilling is present the exterior left edge of the door"
User,right_interior_drilling,0.0,,if(door_hinging_right and not(door_swinging_out); 1; 0),"103) Derived - Model
    Whether drilling is present the interior right edge of the door"
User,right_exterior_drilling,0.0,,if(door_hinging_right and door_swinging_out; 1; 0),"104) Derived - Model
    Whether drilling is present the exterior right edge of the door"
User,left_interior_rabbeting,0.0,,if(door_swinging_out and ( not(door_hinging_right) or ( door_hinging_right and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),"201) Derived - Model
    Whether routing is present the interior left edge of the door"
User,left_exterior_rabbeting,1.0,,if(not(door_swinging_out) and ( not(door_hinging_right) or ( door_hinging_right and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),"202) Derived - Model
    Whether routing is present the exterior left edge of the door"
User,right_interior_rabbeting,0.0,,if(door_swinging_out and ( door_hinging_right or ( not(door_hinging_right) and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),"204) Derived - Model
    Whether rabbeting is present the interior right edge of the stile"
User,right_exterior_rabbeting,1.0,,if(not(door_swinging_out) and ( door_hinging_right or ( not(door_hinging_right) and not(door_wall_keep_latching or door_perp_stile_keeper) ) ); 1; 0),"205) Derived - Model
    Whether rabbeting is present the exterior right edge of the stile"
User,component_ceiling_clearance,0.0,in,0 in,"005) Input - Model
    Ceiling clearance of the component"
User,floor_to_ceiling,0.0,,0,"006) Input - Model
    Whether the door is a 3X86 Floor-to-Ceiling door"
User,shoe_height,4.0,in,4 in,"036) Fixed - Model
    Height of the shoe"
User,shoe_door_top_notch_gap,0.5,in,0.5 in,"037) Fixed - Model
    Height of the shoe"
